"My Bookings","My Bookings"
"Product","Product"
"Date","Date"
"From Time","From Time"
"To Time","To Time"
"Price","Price"
"Status","Status"
"closed","closed"
"Date : ","Date : "
"Sorry we are closed.","Sorry we are closed."
"Select Staff Member","Select Staff Member"
"Note : Home service charges will be calculated when you select your address at checkout","Note : Home service charges will be calculated when you select your address at checkout"
"No","No"
"Yes","Yes"
"Would you like to use service at home","Would you like to use service at home"
"Home Service","Home Service"
"Busy time","Busy time"
"Free time","Free time"
"Time Schedule","Time Schedule"
"To","To"
"From","From"
"Staff Members Manager","Staff Members Manager"
"Add Staff Members","Add Staff Members"
"Booking & Reservation Manager","Booking & Reservation Manager"
"Add Bookings","Add Bookings"
"ID","ID"
"Name","Name"
"Email","Email"
"Age","Age"
"Profession","Profession"
"Avatar","Avatar"
"Status","Status"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Save Staff Member","Save Staff Member"
"Delete Staff Member","Delete Staff Member"
"Add Staff Member","Add Staff Member"
"Edit Staff Member","Edit Staff Member"
"Staff Members Information","Staff Members Information"
"Members Information","Members Information"
"Members Availability","Members Availability"
"Members Bookings","Members Bookings"
"Member information","Member information"
"Name","Name"
"Age","Age"
"Profession","Profession"
"Avatar","Avatar"
"Email","Email"
"Enabled","Enabled"
"Disabled","Disabled"
"Select Services (Products)","Select Services (Products)"
"Member will visible against these products","Member will visible against these products"
"Product Name","Product Name"
"Customer Email","Customer Email"
"Staff Member","Staff Member"
"Booking Day","Booking Day"
"Booking From","Booking From"
"Booking To","Booking To"
"Member Availability Information","Member Availability Information"
"Start Time ( All Days )","Start Time ( All Days )"
"End Time ( All Days )","End Time ( All Days )"
"Time Format:","Time Format:"
"Start Time ( Monday )","Start Time ( Monday )"
"End Time ( Monday )","End Time ( Monday )"
"Start Time ( Tuesday )","Start Time ( Tuesday )"
"End Time ( Tuesday )","End Time ( Tuesday )"
"Start Time ( Wednesday )","Start Time ( Wednesday )"
"End Time ( Wednesday )","End Time ( Wednesday )"
"Start Time ( Thursday )","Start Time ( Thursday )"
"End Time ( Thursday )","End Time ( Thursday )"
"Start Time ( Friday )","Start Time ( Friday )"
"End Time ( Friday )","End Time ( Friday )"
"Start Time ( Saturday )","Start Time ( Saturday )"
"End Time ( Saturday )","End Time ( Saturday )"
"Start Time ( Sunday )","Start Time ( Sunday )"
"End Time ( Sunday )","End Time ( Sunday )"
"Booking & Reservations","Booking & Reservations"
"Save Booking","Save Booking"
"Delete Booking","Delete Booking"
"Add Booking","Add Booking"
"Edit Booking ","Edit Booking "
"Booking Information","Booking Information"
"Select Customer","Select Customer"
"Any One","Any One"
"Date Format must be","Date Format must be"
"Time Format must be","Time Format must be"
"Booking Status","Booking Status"
"Canceled","Canceled"
"Closed","Closed"
"Complete","Complete"
"On Hold","On Hold"
"Payment Review","Payment Review"
"Pending","Pending"
"Pending Payment","Pending Payment"
"Pending PayPal","Pending PayPal"
"Processing","Processing"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Staff Members does not exist","Staff Members does not exist"
"Member was successfully saved","Member was successfully saved"
"Unable to find Member to save","Unable to find Member to save"
"Please specify the Booking & Reservation option(s)","Please specify the Booking & Reservation option(s)"
"Sorry, Selected Time of the day is booked already","Sorry, Selected Time of the day is booked already"
"Mobile Booking","Mobile Booking"
"Service Booking","Service Booking"
"Home Service Bookings","Home Service Bookings"
"Home Service Charges","Home Service Charges"
"Email Notification","Email Notification"
"Select Address","Select Address"

