"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","msrp_enabled","msrp_display_actual_price_type","gift_message_available","hco_addtocartlabel","hco_serviceprovideremail","hco_area","hco_serviceprovider","hco_perunit","hcnc_city","hco_serviceprovidermobile","monday_business_hrs_starts","monday_business_hrs_ends","tuesday_business_hrs_starts","tuesday_business_hrs_ends","wednesday_business_hrs_starts","wednesday_business_hrs_ends","thursday_business_hrs_starts","thursday_business_hrs_ends","friday_business_hrs_starts","friday_business_hrs_ends","saturday_business_hrs_starts","saturday_business_hrs_ends","sunday_business_hrs_starts","sunday_business_hrs_ends","booking_time_slot","buffer_period","booking_type","price","special_price","cost","msrp","status","is_recurring","visibility","tax_class_id","megnor_featured_product","hco_isservice","is_booking_product","is_one_slot_price","is_full_day_booking","description","short_description","meta_keyword","custom_layout_update","groupscatalog2_groups","hcolepd_trainingmaterial","booking_tier_prices","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","country_of_manufacture","weight","hco_city","hcohcdg_diagtype","hcohcdg_hospital","hcohcdg_diagcategory","hco_benefits","hco_otherinfo"
"admin","base","LEPD_Education","virtual","8,11,12","LE2PD1","0","Fine Calligraphy Art Workshop","","","/c/a/calligraphy_1.png","/c/a/calligraphy_1.png","/c/a/calligraphy_1.png","learn-calligraphy","learn-calligraphy.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","sreenivasmurthykn@gmail.com","Uttarahalli , V.V.Puram","Brain Studio","Per Person","Bangalore","9663310280","","","","","","","","","","","","","","","","","","2000.0000","","","","Enabled","No","Catalog, Search","None","0","No","0","0","0","<p>Calligraphy is widely used across various fields to create a beautiful and long lasting impression. Over the decades Calligraphy has increased in popularity as a respected art form which requires a steady hand, a keen eye and an extensive knowledge of fonts and strokes.</p>
<p>&nbsp; </p>
<p>A skillful teacher is very essential to understand the depth and weight of strokes and how to use them. Brain Studio has experts experienced in Calligraphy who will teach you:</p>
<p>&nbsp; </p>
<p>-&nbsp;A wide range of fonts</p>
<p>-&nbsp;How to notice the fine details</p>
<p>-&nbsp;How to tweak the fonts with creative tools to convert them into beautiful Calligraphy</p>
<p>-&nbsp;Increasing mental focus</p>
<p>-&nbsp;Increasing calmness of the mind</p>","<p>Learn from experts the fine art of impressive Calligraphy. Experiment with a wide range of fonts, understand their finer nuances and create beautiful fonts under the expert tutelage of experienced tutors. The Calligraphy art workshop introduces you to:</p>
<p>-&nbsp;Various fonts and their styles <br/>
-&nbsp;Strokes and their multiple applications <br/>
-&nbsp;Convert simple fonts into creative impressions</p>","education, art, font styles, handwriting, styles, workshop","","[ USE DEFAULT ]","","","","","","","","","1000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","0","0","1","0.0000","1","0","0","0","1","Fine Calligraphy Art Workshop","0","virtual","","","","","","","","","",""
"admin","base","LEPD_Education","virtual","8,11,12","LE2PD3","0","Rubik’s Cube Workshop for Children","","","/r/u/rubiks4m_2.png","/r/u/rubiks4m_2.png","/r/u/rubiks4m_2.png","solve-rubik-s-cube","solve-rubik-s-cube.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","sreenivasmurthykn@gmail.com","V.V.Puram","Brain Studio","Per Person","Bangalore","9663310280","","","","","","","","","","","","","","","","","","2000.0000","","","","Enabled","No","Catalog, Search","None","1","Yes","0","0","0","<p>It is every parent&rsquo;s dream that his or her child grows up to be a confident, impressive and successful young individual. While most parents realize that the steps to groom their child&rsquo;s personality must begin at a young age, they fall short on resources to nudge their children in the right direction.</p>
<p>&nbsp; </p>
<p>The Rubik&rsquo;s Cube workshop fills in the void for this need. It is carefully designed workshop which uses systematic tools to bring about an overall personality development in your child.</p>
<p>&nbsp; </p>
<p>This workshop focuses on:</p>
<p>-&nbsp; Building qualities of self-confidence and self-reliance</p>
<p>-&nbsp; Building leadership qualities</p>
<p>-&nbsp; Increasing concentration and focus</p>
<p>-&nbsp; Increasing memory</p>
<p>-&nbsp; Increasing an interest in academics</p>
<p>-&nbsp; Fine tuning mathematical and logical skills</p>
<p>-&nbsp; Improving attention to details</p>
<p>-&nbsp; Encouraging organizational skills and honing them</p>
<p>-&nbsp; Understanding the importance of setting goals at an early age</p>
<p>&nbsp; </p>
<p>The workshop is conducted in three batches, divided basis the age group of the children:</p>
<p>-&nbsp; 9 years</p>
<p>-&nbsp;12 years</p>
<p>-&nbsp;18 years</p>","<p>The Rubik&rsquo;s cube workshop is an exemplary workshop for children. The main aim of the workshop is to enhance your child&rsquo;s learning, memory and attention to a level where he or she can solve the Rubik&rsquo;s puzzle in a jiffy!</p>
<p>The carefully crafted workshop brings out the best abilities in your child and polishes him or her to think and behave like a leader. The workshop is designed to develop:</p>
<p>-&nbsp;Focus<br/>
-&nbsp;Concentration<br/>
-&nbsp;Memory<br/>
-&nbsp;Self Confidence<br/>
-&nbsp;Leadership Qualities</p>
","education, rubiks, cubes, personality development, qualities, self-confidence","","[ USE DEFAULT ]","","","","","2014-04-23 00:00:00","","","","1000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Rubik’s Cube Workshop for Children","0","virtual","","","","","","","","","",""
"admin","base","LEPD_Education","virtual","8,11,12","LE2PD4","0","Juggling and more for kids","","","/j/u/jugglingjs_1.png","/j/u/jugglingjs_1.png","/j/u/jugglingjs_1.png","learn-juggling","learn-juggling.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","sreenivasmurthykn@gmail.com","Uttarahalli , V.V.Puram","Brain Studio","Per Person","Bangalore","9663310280","","","","","","","","","","","","","","","","","","3950.0000","","","","Enabled","No","Catalog, Search","None","0","Yes","0","0","0","<p>Kids not only like to have fun, they like to show off newly acquired skills! The &lsquo;Juggling and more for kids&rsquo; workshop will teach your child to juggle balls like a professional juggler. It is very necessary for children to believe that growing up is as much about having fun as it is about learning.</p>
<p>&nbsp; </p>
<p>The &lsquo;Juggling and more&rsquo; workshop is about much more than the skills required to juggle some balls. The unique process in which juggling is taught to children is designed to enhance their cognitive skills. The workshop is aimed to:</p>
<p>&nbsp; </p>
<p>-&nbsp; Enhance hand and eye coordination</p>
<p>-&nbsp; Increase focus and concentration</p>
<p>-&nbsp; Develop sharp mental reflexes</p>
<p>-&nbsp; Encourage on the spot thinking</p>
<p>-&nbsp; Develop problem solving abilities</p>
<p>-&nbsp; Boost self-confidence</p>","<p>All work and no play can make your child very grumpy indeed! The &lsquo;Juggling and more for kids&rsquo; workshop is a unique approach which keeps both the child and the parents happy. The child has a lot of fun trying to learn to juggle balls, while the parents can be assured that the process in which the game is taught is designed to fine their child&rsquo;s skills like:</p>
<p>-&nbsp; Hand and eye coordination<br/>
-&nbsp; Focus and concentration<br/>
-&nbsp; Sharp reflexes<br/>
-&nbsp; Problem solving</p>","education, children, workshop, juggler, juggle balls","","[ USE DEFAULT ]","","","","","","","","","1000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Juggling and more for kids","0","virtual","","","","","","","","","",""
"admin","base","LEPD_Education","virtual","8,11,12","LE2PD5","0","Handwriting and Graphology Courses","","","/h/a/handwritingms_1.png","/h/a/handwritingms_1.png","/h/a/handwritingms_1.png","handwriting-and-graphology-courses","handwriting-and-graphology-courses.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","sreenivasmurthykn@gmail.com","Uttarahalli , V.V.Puram","Brain Studio","Per Person","Bangalore","9663310280","","","","","","","","","","","","","","","","","","7500.0000","","","","Enabled","No","Catalog, Search","None","1","Yes","0","0","0","<p>Handwriting is supposed to reflect the true personality of an individual and helps assess his or her potential. It is the first impression you make on anybody reading what you have written.</p>
<p>&nbsp; </p>
<p>The Handwriting and Graphology workshop will teach your children how to read their own handwriting. They will understand better what their handwriting says about them and change it to reflect their true personality. They will also be able to understand and decipher other handwriting.&nbsp; Other advantages of this workshop are:</p>
<p>&nbsp; </p>
<p>-&nbsp; It helps your child understand how strokes and curves reflect a personality</p>
<p>-&nbsp; Increases handwriting presentation</p>
<p>-&nbsp; Increases handwriting speed</p>
<p>-&nbsp; Creates ambidexterity. Writing with the left hand is encouraged to activate the right brain and vice versa</p>
<p>-&nbsp; Bridges the logical thinking and creativity</p>
<p>-&nbsp; Increases memory and speed recall</p>","<p>A presentable handwriting is the first step towards creating an instant good impression. This workshop will teach your children how to analyze his or her handwriting. It will also teach them how strokes and curves reflect their personality and guide them towards adapting their handwriting to a personality style that suits them the best.</p>
<p>The workshop is conducted in three batches, divided basis the age group of the children:</p>
<p>-&nbsp; 7 &ndash; 9 years<br/>
-&nbsp; 10 &ndash; 12 years<br/>
-&nbsp;13 &ndash; 18 years</p>","education, handwriting, courses, classes, neat writing, handwriting presentation, speed writing","","[ USE DEFAULT ]","","","","","","","","","1000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Handwriting and Graphology Courses","0","virtual","","","","","","","","","",""
"admin","base","LEPD_Education","virtual","8,11,13","LE16SD1","0","The 'XO' factor for eXtraOrdinary results","","","/x/o/xo-habits_2__1.jpg","/x/o/xo-habits_2__1.jpg","/x/o/xo-habits_2__1.jpg","the-xo-factor-for-extraordinary-results","the-xo-factor-for-extraordinary-results.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","support@homeconnectonline.com","Anywhere in Bangalore","Naveen lakkur","Per Person","","9035055326","","","","","","","","","","","","","","","","","","1000.0000","","","","Enabled","No","Catalog, Search","None","0","Yes","0","0","0","<p>A lot of times people find themselves struggling to break free from the mundane or the ordinary. In this unique three hour workshop titled XO, Naveen Lakkur teaches you how being extraordinary is right within your reach. Naveen Lakkur has over 20 years of experience. He has often been invited to corporate, colleges and radio shows to give pep talk and encourage individuals to believe in themselves and the strength of their ideas.</p>
<p>&nbsp; </p>
<p>A relationship is a two way street. Relationships do not just exist but they need to be worked upon. The XO factor shows you how to work towards those relationships you truly treasure. Once a relationship has ended you often find yourself wishing you had done things differently or better. The XO Factor demonstrates how just a little effort from your end can add so much meaning to your relationship making it timeless.</p>","<p>Almost everybody faces hiccups in their relationships. Every now and then we feel stonewalled with nowhere to go and unfortunately sometimes we find some relationships crumbling under this pressure. The &lsquo;XO&rsquo; Factor is a much needed workshop which shows:</p>
<p>-&nbsp; How just a little bit of extra effort can add value to gestures</p>
<p>-&nbsp; How to use small but meaningful gestures to enhance relationships</p>
<p>-&nbsp; How gestures used in time can turn ordinary relationships to eXtraordinary When relationships are succumbing to the pressures of daily life, the XO Factor helps you reinvigorate the joy of the relationship to make it timeless.</p>","XO, extraordinary, naveen lakkur,","","[ USE DEFAULT ]","XO articles will be provided as a complementary gifts ","","","","","","","","100.0000","0.0000","0","0","0","1","0.0000","0","0.0000","1","1","","","1","0","0","0","1","0.0000","1","0","0","0","1","The 'XO' factor for eXtraOrdinary results","0","virtual","","","","","","","","","",""
"admin","base","LE_LearningProducts","simple","","LE16SD2","0","XO Hardbound Book","","","/x/o/xo_book_1.jpg","/x/o/xo_book_1.jpg","/x/o/xo_book_1.jpg","xo-book","xo-book.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Buy Now","support@homeconnectonline.com","","Naveen lakkur","Per Piece","","9035055326","","","","","","","","","","","","","","","","","","250.0000","","","","Enabled","No","Catalog","None","0","Yes","0","0","0","<p>Everybody needs a little encouragement to keep them going. The 100 pages XO hardbound book is just the right kind of encouragement one needs to keep going on their journey towards being eXtraordinary. The XO book is perfect to pen down small accomplishments or to maintain a track of the little efforts undertaken towards moving away from the ordinary. You can write down things you need to work upon or things which matter to you.</p>
<p>&nbsp; </p>
<p>The book is interspersed with eXtraordinary messages to help you when you fumble or to keep you encouraged when you feel like giving up. It is the perfect book to gift to someone who is struggling to take those little steps towards creating timeless relationships.</p>","<p>XO is all about taking a little effort to convert the ordinary into eXtraordinary. The 100 page XO hardbound book is designed to encourage you to achieve this goal. It is an ideal book to pen down your thoughts and suggestions. You can write little notes and tips to keep you motivated on your journey towards being eXtraordinary.</p>
<p>To keep you focused on your path the book is interspersed with eXtraordinary messages by Naveen Lakkur; the creator of XO Factor. It is also the perfect gift for someone who is in search of a little encouragement to achieve his or her eXtraordinary goal.</p>","XO books, XO, extra ordinary, hardbound book, naveen lakkur","","[ USE DEFAULT ]","","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","XO Hardbound Book","0","simple","","","India","1.0000","Bangalore","","","","",""
"admin","base","LE_LearningProducts","simple","","LE16SD3","0","XO Mini Book","","","/x/o/xo_mini.jpg","/x/o/xo_mini.jpg","/x/o/xo_mini.jpg","xo-mini","xo-mini.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Buy Now","support@homeconnectonline.com","","Naveen lakkur","Per Piece","","9035055326","","","","","","","","","","","","","","","","","","158.0000","","","","Enabled","No","Catalog","None","0","Yes","0","0","0","<p>The XO Mini Book is a pocket-sized notebook developed by Naveen Lakkur, &nbsp;the creator and conductor of the XO Factor workshop which helps ordinary people achieve extraordinary goals. His enthusiastic encouragement, his support for innovation and his relentless guidance has helped many individuals cherish timeless relationships.</p>
<p>&nbsp; </p>
<p>The XO Mini Book&rsquo;s pocket-sized structure makes it a comfortable fit in any purse or pocket and can be carried anywhere. It is the perfect tool to write down important accomplishments, gestures, words and actions right when they happen. You can reflect on your writings and deliberate on them later on. The XO Mini Book also carries and eXtraordinary message as a partition. You can revert to the message anytime you feel you need that dose of encouragement to stay focused on your goal of being eXtraordianry.</p>","<p>The XO Mini Book is a pocket-sized book made from recycled paper. It is easy to carry around and has enough space to write down important thoughts and messages which can be referred to later on. It could be something as simple as something you have seen which has affected you or some important action you feel you can that will help you in your goal of being eXtraordinary. It is always convenient to have the XO Mini Book handy. The book is partitioned with an eXtraordinary message that will remind you of this journey you have undertaken and keep you motivated.</p>","XO, XO mini, XO books, naveen lakkur, extra ordinary","","[ USE DEFAULT ]","","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","XO Mini Book","0","simple","",""," ","1.0000","Bangalore","","","","",""
"admin","base","LE_LearningProducts","simple","","LE16SD4","0","XO Tabletop Calendar 2014","","","/x/o/xo-calendar-moc-may.png","/x/o/xo-calendar-moc-may.png","/x/o/xo-calendar-moc-may.png","xo-calendar-2014","xo-calendar-2014.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Buy Now","support@homeconnectonline.com","","Ravi Agencies","Per Piece","","9035055326","","","","","","","","","","","","","","","","","","250.0000","","","","Enabled","No","Catalog, Search","None","0","Yes","0","0","0","<p>The XO Tabletop Calendar 2014 has been conceptualized by Naveen Lakkur; creator and conductor of XO Factor workshop to encourage people to achieve extraordinary things. He has been an inspiration for young and old individuals and his encouragement has helped them achieve their goals.</p>
<p>&nbsp; </p>
<p>His inspiring and encouraging quotes have been creatively integrated into a table top calendar. The XO table top calendar is not just another decorative item. It has 12 inspiring quotes to keep you motivated. Its impressive design also makes it the perfect gift for someone who needs a little nudge in the right direction.</p>
<p>&nbsp; </p>
<p>Some the key attributes of the XO tabletop calendar are:</p>
<p>-&nbsp; 12 inspiring and encouraging quotes by Naveen Lakkur</p>
<p>-&nbsp; You can use the XO Calendar without the dateline as well</p>
<p>-&nbsp; The quotes can be used as greeting cards and gifted to someone</p>
<p>-&nbsp; The XO Calendar come with 12 envelopes</p>","<p>Usually a tabletop calendar is just a thing of beauty and adds no further value to your life. The XO Tabletop calendar 2014 changes that. It is a creatively designed calendar which has 12 eXtraordinary messages; one for each month. The messages keep you motivated to take those little efforts to convert your daily gestures into meaningful acts.</p>
<p>It is an ideal gift for someone who has a special meaning in your life and who could benefit from the encouragement of the eXtraordinary messages</p>","XO, XO calender, calender, tabletop, extra ordinary, naveen lakkur","","[ USE DEFAULT ]","","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","XO Tabletop Calendar 2014","0","simple","",""," ","1.0000","Bangalore","","","","",""
"admin","base","LESK_LearningSkills","virtual","4,8,14,31","LE5SK1","0","Organic Gardening Workshop","","","/s/q/squarefoot-workshop.jpg","/s/q/squarefoot-workshop.jpg","/s/q/squarefoot-workshop.jpg","grow-your-own-organic-garden","grow-your-own-organic-garden.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","squarefootfarmers@gmail.com","Anywhere in Bangalore","Squarefoot Farmers","Per Person","","9886469589","","","","","","","","","","","","","","","","","","1600.0000","","","","Enabled","No","Catalog, Search","None","0","Yes","0","0","0","<p>Organic farming is a healthy way to grow your own vegetables, fruits, flowers and herbs. With natural resources depleting at an alarming rate, organic farming has become a need of the hour. It saves 80% of your time and the water and energy used in regular farming.</p>
<p>&nbsp; </p>
<p>In this workshop you will learn about the many advantages of organic farm. It is a fun and easy workshop designed by Squarefoot Farmers to encourage people to embrace organic farming. You can now grow your organic vegetables right at home. The Organic Gardening Workshop is designed to encourage first timers to enjoy organic farming and is an ideal workshop for those wishing to try their hand at growing their own plants.</p>
<p>&nbsp; </p>
<p>This workshop introduces you to:</p>
<p>-&nbsp; How to use your organic farming kit</p>
<p>-&nbsp; How to plant seeds</p>
<p>-&nbsp; Transplanting</p>
<p>-&nbsp; Companion planting</p>
<p>-&nbsp; How to care for your plants to ensure maximum output</p>","<p>Save 80% natural resources like energy and water by growing your own organic food. This fun workshop demonstrates how easy organic farming can really be.</p>
<p>It teaches you how to:</p>
-&nbsp; Use your organic farming kit <br/>
-&nbsp; Sow seed<br/>
-&nbsp; Transplant<br/>
-&nbsp; Companion planting<br/>
-&nbsp; Care for the plants</p>","Organic, Gardening, Workshop, Green, eco friendly","","[ USE DEFAULT ]","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2014-05-14 11:34:07","","1","0","0","1","1","0.0000","1","0","0","1","1","Organic Gardening Workshop","0","virtual","","","","","Bangalore","","","","",""
"admin","base","HCDG_diagnostics","virtual","3,18","HC8DG1","0","Breast Thermography (For cancer diagnosis)","","","/c/e/central_diagnostic_-_anjana_logo.jpg","/c/e/central_diagnostic_-_anjana_logo.jpg","/c/e/central_diagnostic_-_anjana_logo.jpg","breast-thermography-for-cancer-diagnosis","breast-thermography-for-cancer-diagnosis.html","","No layout updates","Block after Info Column","","","","Use config","Use config","No","Book Now","cdrfinfo@gmail.com","Indiranagar","ANJANA DIAGNOSTICS (CENTRAL DIAGNOSTIC RESEARCH FOUNDATION PVT. LTD)","Per Test","","9880096473","","","","","","","","","","","","","","","","","","2500.0000","2250.0000","","","Enabled","No","Catalog, Search","None","1","Yes","0","0","0","<p>Breast Cancer can happen to anybody. One of the biggest hindrances in the treatment of Breast Cancer it&rsquo;s the late detection of its presence. When identified in time Breast Cancer can be successfully treated.</p>
<p>A lot of treatment centers in India depend on a surgeon&rsquo;s diagnosis to detect the presence of lumps in the breast. The patient is then recommended a Mammography to confirm the surgeon&rsquo;s suspicion. The two major drawbacks of this process are that sometimes the lumps have to be of a significant size before a surgeon can feel their presence and that Mammography is applicable only to women in their later years.</p>
<p>Breast Thermography offers younger women a sensitive, non-invasive examination that can detect Breast Cancer in its early stages. In this method an infrared scanning device is used to convert infrared radiation emitted from the skin surface into electrical impulses. These impulses are then converted into a color code depending on the intensity of the recorded temperature and then visualized in color on a monitor. <br /> This visual image graphically maps the body temperature, which is referred to as a thermogram. The spectrum of colors indicate an increase or decrease in the amount of infrared radiation being emitted from the body surface. Subtle abnormal temperature asymmetries can be easily identified and these asymmetries are indicative of disease processes.</p>
<p>Anjana Diagnostics is&nbsp; one of the first diagnostic centers in India to make use of the Infrared Digital Thermography or Breast Thermography for in-time detection of Breast Cancer.</p>
<p>Some of the advantages of availing of this diagnostic service are:</p>
<p>-&nbsp; The Thermograms are performed by a Technologist trained and certified by American College of Clinical Thermology; USA</p>
<p>-&nbsp; The Thermograms are evaluated by&nbsp; a trained Doctor with over 30 years of experience and certified by the American College of Clinical Thermology; USA</p>
<p>-&nbsp; It is painless and involves no radiation and can be used by patients as young as 20 years of age</p>
<p>-&nbsp; Patients can avail this technology to conduct regular breast check-ups in case of a genetic history of Breast Cancer</p>
<p><br /> <span style=""text-decoration: underline;"">Venue of the Center </span><br /> 531, 2nd Main, <br /> 2nd Stage, Indiranagar, <br /> [Behind B.D.A Complex] <br /> Bangalore &ndash; 560038</p>","<p>The threat of Breast Cancer is as real to men as it is to women. Even painless lumps can be dangerous. However when detected in time Breast Cancer can be successfully treated. &nbsp;Anjana Diagnostics is one of the first diagnostic centers in India to use the Infrared Digital Thermography or Breast Thermography equipment to identify Breast Cancer. This diagnostic imaging technology is non-invasive and helps visualize and quantify changes in breast surface temperature. This helps detect Breast Cancer even in its early stages.</p>
<p>Mammography has been the most reliable technology to detect a mass in the breast. But only women in their later years i.e. between the age group of 45 &ndash; 75 years can undergo this screening. The Infrared Digital Thermography can identify abnormalities in the breast almost 8-10 years before one qualifies for Mammography. This saves precious time in detecting the Breast Cancer and also enables the patient to seek the right treatment from an early stage.</p>","breast cancer, diagnosis, female, women, treatment, thermography, diagnostics","","[ USE DEFAULT ]","","","2014-04-15 00:00:00","","2014-03-10 00:00:00","2014-03-14 00:00:00","2014-03-24 00:00:00","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2014-05-14 11:36:16","","1","0","0","1","1","0.0000","1","0","0","1","1","Breast Thermography (For cancer diagnosis)","0","virtual","","","","","Bangalore","Infrared Digital Thermography ","","Diagnostics","No external radiation, no breast compression, no body contact Physiological changes in the tissues can be evaluated. There are other facilities available at the centers.

<b> The prices may vary according to the region to be evaluated </b>",""
